date,open,close,high,low,volume,code
2014-07-16,7289.19,7261.91,7324.68,7251.57,114622602.0,sz
2014-07-17,7251.15,7194.74,7251.15,7151.43,91261626.0,sz
2014-07-18,7166.65,7259.45,7312.83,7159.83,89766142.0,sz
2014-07-21,7264.54,7274.5,7301.15,7251.35,85968757.0,sz
2014-07-22,7261.37,7372.65,7384.87,7258.58,103512990.0,sz
2014-07-23,7362.74,7375.31,7412.84,7341.56,113741903.0,sz
2014-07-24,7384.92,7503.4,7510.42,7384.92,125181881.0,sz
2014-07-25,7528.34,7578.12,7578.12,7503.62,108237596.0,sz
2014-07-28,7630.35,7808.66,7826.79,7630.35,151160675.0,sz
2014-07-29,7828.35,7867.04,7895.73,7799.13,150267035.0,sz
2014-07-30,7867.93,7853.23,7920.97,7820.8,142446090.0,sz
2014-07-31,7845.8,7956.91,7957.46,7821.71,133467983.0,sz
2014-08-01,7919.78,7880.98,8021.15,7880.42,154312154.0,sz
2014-08-04,7896.97,8006.91,8006.91,7892.55,131422280.0,sz
2014-08-05,8007.47,8007.76,8032.28,7950.52,146172738.0,sz
2014-08-06,7962.56,7995.5,8022.54,7883.08,147601789.0,sz
2014-08-07,7990.0,7872.95,8027.51,7869.88,144047666.0,sz
2014-08-08,7890.88,7885.33,7929.12,7845.26,118578872.0,sz
2014-08-11,7902.24,8009.73,8017.13,7902.24,132970678.0,sz
2014-08-12,8000.92,7966.89,8000.92,7933.51,137554707.0,sz
2014-08-13,7967.91,7980.49,8029.73,7897.8,148232856.0,sz
2014-08-14,7977.33,7893.9,7998.91,7887.95,149416306.0,sz
2014-08-15,7901.19,7982.07,8012.14,7891.06,142844811.0,sz
2014-08-18,8018.18,8045.86,8058.55,7985.89,162024330.0,sz
2014-08-19,8064.62,8043.25,8073.22,7994.5,178273170.0,sz
2014-08-20,8029.51,8023.07,8060.51,8000.21,160510826.0,sz
2014-08-21,8021.15,8010.71,8024.65,7904.07,151235217.0,sz
2014-08-22,8003.53,8059.4,8074.42,7997.59,142616013.0,sz
2014-08-25,8054.88,7934.81,8056.21,7925.22,137693867.0,sz
2014-08-26,7915.33,7813.98,7946.39,7786.23,140140309.0,sz
2014-08-27,7809.52,7841.07,7881.25,7809.52,110774340.0,sz
2014-08-28,7840.39,7743.54,7854.28,7735.68,112169042.0,sz
2014-08-29,7758.36,7841.7,7841.7,7755.47,91220103.0,sz
2014-09-01,7852.91,7941.16,7944.15,7852.87,117718753.0,sz
2014-09-02,7958.85,8043.31,8046.71,7923.98,158896871.0,sz
2014-09-03,8051.09,8115.87,8136.56,8051.09,175733043.0,sz
2014-09-04,8141.39,8176.57,8180.42,8103.2,176282291.0,sz
2014-09-05,8202.66,8214.53,8237.42,8158.83,175447317.0,sz
2014-09-09,8220.96,8201.51,8225.1,8155.83,170562910.0,sz
2014-09-10,8164.4,8158.6,8172.12,8109.44,169949073.0,sz
2014-09-11,8153.52,8117.92,8251.06,8095.86,197852526.0,sz
2014-09-12,8104.42,8146.99,8147.2,8069.68,160469776.0,sz
2014-09-15,8124.73,8112.65,8125.23,8051.53,186382525.0,sz
2014-09-16,8130.22,7921.07,8143.91,7918.6,235875062.0,sz
2014-09-17,7951.42,7981.82,7986.49,7893.1,162448359.0,sz
2014-09-18,7964.47,8004.57,8020.36,7942.85,147021779.0,sz
2014-09-19,8006.06,8047.25,8060.74,7971.22,137593282.0,sz
2014-09-22,8036.87,7895.87,8036.87,7886.88,146482708.0,sz
2014-09-23,7906.47,7965.88,7974.82,7906.47,136735453.0,sz
2014-09-24,7944.32,8100.22,8103.3,7925.38,172218599.0,sz
2014-09-25,8137.33,8076.51,8167.03,8058.7,182223352.0,sz
2014-09-26,8050.64,8072.88,8078.07,8021.27,148906041.0,sz
2014-09-29,8084.27,8082.85,8107.15,8045.89,164990775.0,sz
2014-09-30,8095.27,8080.35,8100.29,8060.35,149565480.0,sz
2014-10-08,8134.37,8183.65,8183.65,8073.72,166247082.0,sz
2014-10-09,8199.68,8204.01,8234.92,8131.17,204877479.0,sz
2014-10-10,8186.33,8211.54,8260.23,8158.34,196135041.0,sz
2014-10-13,8179.49,8164.07,8193.36,8092.49,175778236.0,sz
2014-10-14,8150.86,8139.96,8200.35,8105.54,172805427.0,sz
2014-10-15,8141.14,8198.12,8209.9,8086.63,166565693.0,sz
2014-10-16,8156.79,8110.69,8227.14,8110.69,175054366.0,sz
2014-10-17,8116.81,8151.52,8182.83,8015.62,169446196.0,sz
2014-10-20,8175.68,8204.2,8219.8,8153.1,129324404.0,sz
2014-10-21,8197.17,8106.92,8206.89,8101.6,132644127.0,sz
2014-10-22,8114.89,8063.2,8162.83,8059.56,122521869.0,sz
2014-10-23,8044.71,7969.16,8077.78,7957.03,133249926.0,sz
2014-10-24,7982.31,7921.13,8003.79,7899.54,99722301.0,sz
2014-10-27,7881.01,7829.33,7881.01,7803.46,101785974.0,sz
2014-10-28,7846.87,7988.34,7988.34,7846.87,139378381.0,sz
2014-10-29,8010.41,8090.68,8109.64,7962.03,188403507.0,sz
2014-10-30,8088.98,8090.55,8105.72,8034.08,174056448.0,sz
2014-10-31,8109.55,8225.61,8230.59,8088.26,175178806.0,sz
2014-11-03,8245.03,8240.15,8285.16,8202.53,173760110.0,sz
2014-11-04,8231.5,8206.79,8236.17,8179.34,173491080.0,sz
2014-11-05,8221.95,8198.57,8248.56,8189.84,159290100.0,sz
2014-11-06,8206.55,8211.96,8223.3,8137.42,144818161.0,sz
2014-11-07,8226.31,8234.87,8348.88,8183.06,179328399.0,sz
2014-11-10,8299.42,8410.22,8410.95,8251.74,158531885.0,sz
2014-11-11,8443.25,8312.88,8491.12,8243.9,205237277.0,sz
2014-11-12,8287.57,8410.29,8410.42,8271.84,129080433.0,sz
2014-11-13,8416.67,8305.08,8416.81,8288.05,160941017.0,sz
2014-11-14,8263.97,8326.9,8343.91,8242.49,123815098.0,sz
2014-11-17,8358.13,8283.8,8389.39,8278.12,124168883.0,sz
2014-11-18,8264.4,8196.59,8295.98,8173.44,114787642.0,sz
2014-11-19,8206.78,8225.07,8265.58,8202.78,120855715.0,sz
2014-11-20,8210.82,8205.38,8236.32,8190.4,109492290.0,sz
2014-11-21,8209.98,8332.3,8335.59,8194.52,132594002.0,sz
2014-11-24,8498.06,8577.91,8645.39,8464.61,203876218.0,sz
2014-11-25,8600.31,8693.43,8694.59,8578.46,190573721.0,sz
2014-11-26,8712.29,8763.78,8774.78,8680.86,196322600.0,sz
2014-11-27,8798.41,8860.43,8860.43,8743.93,215359011.0,sz
2014-11-28,8837.47,9002.23,9010.17,8767.12,237889029.0,sz
2014-12-01,9029.64,9095.76,9180.64,9028.83,224163187.0,sz
2014-12-02,9058.32,9366.95,9433.64,9027.3,204649707.0,sz
2014-12-03,9448.37,9643.92,9777.76,9441.83,288938608.0,sz
2014-12-04,9679.59,10029.83,10040.72,9659.95,273711402.0,sz
2014-12-05,10164.37,10067.28,10319.87,9749.14,313024454.0,sz
2014-12-08,10047.12,10554.57,10587.62,9919.65,273927101.0,sz
2014-12-09,10496.63,10116.49,11050.85,10042.01,345795908.0,sz
