,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
147,603683,晶华新材,-7.068,19.59,20.8,20.91,19.1,21.08,2772100.0,8.75308,55298586.0,47.78,3.218,248146.53,62041.53
148,603680,今创集团,-6.849,18.09,19.23,19.5,17.9,19.42,2630930.0,4.47437,48912649.0,11.377,2.164,1063692.0,106369.2
149,603679,华体科技,-4.048,22.52,23.45,23.45,22.0,23.47,356600.0,1.01751,8142008.0,37.266,4.182,227429.48,78924.281112
150,603678,火炬电子,-0.262,22.87,23.13,23.13,21.83,22.93,2777686.0,0.61538,62353795.0,43.981,4.017,1035247.02765,1032296.79765
151,603677,奇精机械,1.355,17.2,16.94,18.5,16.94,16.97,950684.0,1.7170200000000002,16653202.0,22.933,2.648,337547.1792,95233.5104
152,603676,卫信康,-4.195,13.93,14.22,14.52,13.82,14.54,2898284.0,4.34783,40951103.0,53.577,6.608,589239.0,92858.04864
153,603669,灵康药业,-1.291,9.94,10.16,10.16,9.86,10.07,925968.0,0.25439,9264987.0,16.032,1.94,361816.0,361816.0
154,603668,天马科技,-0.913,8.68,8.71,8.8,8.5,8.76,647004.0,0.34790000000000004,5594625.0,28.0,3.049,260195.152,161424.5857
155,603667,五洲新春,-0.626,9.52,9.45,9.62,9.37,9.58,1465040.0,1.29093,13874891.0,19.429,1.5670000000000002,250490.24,108039.57164
156,603666,亿嘉和,-7.679,82.11,87.98,87.99,81.65,88.94,2772454.0,15.80295,234436589.0,31.092,12.562,576210.858069,144052.9629
157,603665,康隆达,-4.185,22.21,22.83,23.2,22.13,23.18,262700.0,0.70484,5918257.0,28.844,2.355,222100.0,82778.522314
158,603663,三祥新材,-3.339,17.08,17.71,17.99,16.98,17.67,561500.0,1.14436,9752595.0,42.7,4.735,231790.972,83806.2652
159,603661,恒林股份,-1.967,35.89,36.55,36.87,35.5,36.61,424677.0,1.6987100000000002,15422848.0,16.693,1.6320000000000001,358900.0,89725.0
160,603660,苏州科达,-3.963,17.45,18.25,18.25,17.4,18.17,1980230.0,0.83369,35094433.0,16.111,3.117,628809.3889,414482.159785
161,603659,璞泰来,-5.142,49.62,52.2,52.23,49.5,52.31,1585345.0,2.48865,80360355.0,41.697,8.337,2147071.7898,316093.7898
162,603658,安图生物,-7.259,60.3,62.33,63.33,58.58,65.02,4000815.0,2.93019,242033953.0,56.887,15.704,2532600.0,823322.934
163,603657,春光科技,9.995,42.81,42.81,42.81,42.81,38.92,238592.0,0.9941300000000001,10214124.0,35.09,8.67,410976.0,102744.0
164,603656,泰禾光电,-2.01,16.09,16.31,16.39,15.8,16.42,403481.0,0.6371,6519096.0,18.284,2.036,239550.4944,101899.784952
165,603655,朗博科技,-3.545,17.96,18.5,18.65,17.7,18.62,1442067.0,5.44176,26112982.0,40.818,4.017,190376.0,47594.0
166,603650,彤程新材,-10.003,32.93,34.48,35.0,32.93,36.59,14631363.0,24.88327,494331658.0,54.883,14.833,1929656.8375,193628.4
167,603648,畅联股份,-8.894,15.98,16.97,17.1,15.9,17.54,10812928.0,11.73192,179373447.0,34.462,3.692,589129.3866,147282.3866
168,603639,海利尔,-5.098,27.55,29.3,29.3,27.51,29.03,1901138.0,3.50089,53722831.0,11.337,1.9380000000000002,466696.6143,149608.745975
169,603638,艾迪精密,0.261,26.86,26.39,27.17,26.39,26.79,686042.0,0.8072800000000001,18442743.0,33.136,5.294,699649.28,228260.61789
170,603637,镇海股份,-2.261,11.67,11.91,11.95,11.6,11.94,1453150.0,3.36191,17065435.0,34.324,2.145,203089.043367,50442.346149
171,603636,南威软件,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,40.0,3.332,527256.952,522709.84
172,603633,徕木股份,-1.573,15.02,14.93,15.32,14.78,15.26,514205.0,0.61924,7724851.0,36.634,2.535,180765.7,124722.547296
173,603630,拉芳家化,-9.977,15.97,17.61,17.61,15.97,17.74,5422135.0,6.66984,89005080.0,19.012,1.596,362071.84,129825.38413
174,603628,清源股份,-3.204,8.46,8.67,8.8,8.37,8.74,1615100.0,1.81881,13822653.0,47.0,2.488,231634.8,75124.8
175,603626,科森科技,-3.116,12.75,13.12,13.21,12.7,13.16,2375177.0,1.5022600000000002,30729864.0,16.346,2.092,529860.416175,201586.0833
176,603619,中曼石油,-2.771,28.77,29.05,29.78,28.08,29.59,2738907.0,6.84725,79321629.0,27.142,4.433,1150800.2877,115080.2877
177,603618,杭电股份,-1.698,5.79,5.98,5.98,5.76,5.89,1174600.0,0.17101000000000002,6840636.0,38.6,1.888,397702.887732,397702.887732
178,603617,君禾股份,-2.123,17.98,18.3,18.41,17.8,18.37,976300.0,3.9052,17638347.0,27.242,3.669,183097.532,44950.0
179,603616,韩建河山,-2.003,11.74,11.97,12.07,11.67,11.98,2771690.0,0.94481,32780379.0,-58.09,4.429,344404.64,344404.64
180,603615,茶花股份,0.44,11.41,11.37,11.76,11.27,11.36,1375101.0,1.83684,15804172.0,27.829,2.013,273840.0,85417.981285
181,603612,索通发展,-3.168,15.59,15.85,16.14,15.56,16.1,2171333.0,1.21397,34337560.0,5.861,1.532,530432.69454,278846.06067
182,603611,诺力股份,-2.293,13.21,13.52,13.77,13.13,13.52,693660.0,0.30967,9308609.0,15.36,1.5550000000000002,353979.854834,295904.0
183,603609,禾丰牧业,-2.825,8.6,8.84,8.89,8.35,8.85,3948277.0,0.47502000000000005,33861459.0,15.088,2.052,714811.76334,714811.76334
184,603608,天创时尚,-0.324,9.22,9.22,9.37,9.05,9.25,1968229.0,1.54492,18145266.0,19.208,1.911,397752.797974,117462.8
185,603607,京华激光,-2.634,22.92,23.6,23.95,22.8,23.54,1499454.0,4.70166,34935030.0,19.93,2.868,292257.504,73096.464
186,603606,东方电缆,-2.475,8.67,8.89,9.06,8.65,8.89,2144655.0,0.5108600000000001,18862504.0,54.188,2.018,436237.399908,363974.8365
187,603605,珀莱雅,-9.133,41.09,45.0,45.3,40.7,45.22,3804951.0,7.6099,162530541.0,31.608,5.375,821800.0,205450.0
188,603603,博天环境,0.758,18.62,18.48,18.68,17.28,18.48,2236000.0,0.95218,40142000.0,36.51,5.518,744818.62,437253.48793
189,603602,纵横通信,-8.399,23.12,25.2,25.2,22.75,25.24,3141680.0,11.22029,74868272.0,25.689,2.892,258944.0,64736.0
190,603601,再升科技,-3.799,7.85,8.18,8.19,7.78,8.16,1680292.0,0.31081000000000003,13392533.0,26.692,2.465,424380.23474,424380.23474
191,603600,永艺股份,-9.535,7.59,8.12,8.18,7.58,8.39,2999900.0,1.19996,23766469.0,18.975,2.7720000000000002,230010.99561,189750.0
192,603599,广信股份,-4.098,12.87,13.42,13.49,12.72,13.42,1629951.0,0.43766000000000005,21318967.0,14.3,1.407,598042.046745,479312.923518
193,603598,引力传媒,-1.942,10.1,10.28,10.4,9.92,10.3,3055752.0,1.14079,30969007.0,40.4,4.035,273329.23,270541.529
194,603596,伯特利,-7.436,29.5,30.75,30.76,29.28,31.87,7715287.0,18.88225,231327076.0,39.333,9.133,1205254.95,120537.0
195,603595,东尼电子,-8.562,55.96,60.65,61.18,55.68,61.2,982025.0,2.82597,56393561.0,27.567,6.941,570881.536,194461.0
196,603589,口子窖,-1.381,50.72,51.3,52.0,49.77,51.43,4420661.0,0.7367800000000001,224820914.0,27.269,5.5,3043200.0,3043200.0
197,603588,高能环境,-1.943,8.58,8.75,8.81,8.51,8.75,2563100.0,0.39169000000000004,22102299.0,28.986,2.56,568159.838532,561455.505468
198,603587,地素时尚,-6.028,30.4,32.19,32.2,30.16,32.35,5357614.0,8.78297,166535813.0,21.56,3.752,1219040.0,185440.0
199,603586,金麒麟,-3.21,13.57,13.99,13.99,13.5,14.02,693642.0,0.69289,9524351.0,15.247,1.333,292593.626,135848.067698
200,603585,苏利股份,1.709,22.02,21.5,22.15,21.35,21.65,1434020.0,2.65559,31024588.0,14.68,2.094,396360.0,118908.0
201,603580,艾艾精工,0.244,16.45,16.08,16.7,16.08,16.41,884568.0,2.93263,14556093.0,34.285,2.891,153541.01,49618.135
202,603579,荣泰健康,-8.161,56.49,59.6,60.34,55.36,61.51,911243.0,1.77216,52296287.0,35.753,5.5280000000000005,790860.0,290471.58
203,603578,三星新材,-3.652,25.06,25.79,25.79,24.02,26.01,3811317.0,11.9477,94729879.0,37.97,4.294,220528.0,79941.4
204,603577,汇金通,-4.207,9.79,10.11,10.23,9.75,10.22,1966100.0,2.5364,19610898.0,35.927,1.955,171344.58,75887.606949
205,603569,长久物流,-1.078,13.76,14.05,14.05,13.58,13.91,598471.0,0.7462500000000001,8304119.0,14.041,2.4859999999999998,770579.264,110350.780288
206,603568,伟明环保,0.457,24.2,24.09,24.56,23.81,24.09,2653917.0,0.38877,64319640.0,32.703,6.694,1664379.2,1651983.96
207,603567,珍宝岛,-1.075,12.88,13.09,13.1,12.76,13.02,666966.0,0.07854000000000001,8636219.0,20.998,2.266,1093718.08,1093718.08
208,603566,普莱柯,-4.339,14.77,15.96,15.96,14.53,15.44,1216000.0,0.37823,18531162.0,41.028,2.973,478163.98,474849.592
209,603559,中通国脉,-1.905,19.05,19.42,19.5,18.8,19.42,1941000.0,2.44156,37094026.0,90.284,3.47,264240.018255,151444.6425
210,603558,健盛集团,-1.345,8.07,8.15,8.24,8.0,8.18,694200.0,0.23140000000000002,5634340.0,23.735,1.199,335999.573643,242100.0
211,603557,起步股份,1.037,11.69,11.61,11.74,11.1,11.57,1543272.0,3.28356,17654072.0,26.376,3.844,549406.220202,54943.0
212,603556,海兴电力,-0.482,16.51,16.59,16.79,16.45,16.59,589570.0,0.35145000000000004,9786980.0,11.007,1.335,817937.7596,276961.213412
213,603555,贵人鸟,-3.061,8.55,8.75,8.93,8.5,8.82,6639499.0,1.05623,57709750.0,34.173,2.229,537454.832265,537454.832265
214,603538,美诺华,-5.686,14.1,14.94,14.94,14.03,14.95,1486380.0,1.6615,21411289.0,35.25,1.459,203040.0,126138.6
215,603536,惠发股份,-3.618,8.79,9.1,9.18,8.7,9.12,1918438.0,3.18391,17082525.0,15.155,1.6320000000000001,147672.0,52963.324893
216,603535,嘉诚国际,-5.496,19.26,20.08,20.37,19.09,20.38,2518580.0,6.69835,49267059.0,20.274,2.06,289670.4,72417.6
217,603533,掌阅科技,-3.576,24.54,25.51,25.68,24.45,25.45,1400127.0,3.41494,34943299.0,74.364,9.617,984054.0,100614.0
218,603528,多伦科技,-0.418,7.14,7.23,7.24,7.0,7.17,2324691.0,1.2392400000000001,16619188.0,43.431,3.161,447742.26,133939.26
219,603527,众源新材,-5.112,13.92,14.53,14.79,13.81,14.67,1898220.0,4.35972,26989820.0,16.771,2.091,242430.72,60607.68
220,603520,司太立,-1.845,22.88,23.25,24.18,22.56,23.31,1583419.0,2.44922,37027234.0,33.159,3.122,274560.0,147919.2
221,603519,立霸股份,-0.256,7.79,7.81,7.9,7.66,7.81,1090684.0,0.49143000000000003,8463703.0,14.923,1.718,172891.155614,172891.155614
222,603518,维格娜丝,-3.534,16.65,17.25,17.25,16.33,17.26,1871035.0,1.2543,31170732.0,13.008,1.359,300622.398345,248366.99772
223,603517,绝味食品,-2.333,36.42,36.51,38.24,35.65,37.29,3122525.0,1.90744,116219238.0,28.905,5.497,1493220.0,596204.1408
224,603516,淳中科技,-1.594,29.02,29.45,30.08,28.8,29.49,1505950.0,4.59953,44261629.0,22.323,3.7119999999999997,380061.53276,95015.48476
225,603515,欧普照明,-5.453,39.53,41.01,41.48,39.01,41.81,3056560.0,3.12015,121386627.0,33.631,6.182,2299217.006312,387244.086428
